x_h,y1_adams_h,y2_adams_h,y1_toch_h,y2_toch_h,delta1_h,delta2_h,x_h2,y1_adams_h2,y2_adams_h2,y1_toch_h2,y2_toch_h2,delta1_h2,delta2_h2
,,,,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
,,,,,,,0.1,-0.009995,0.1,-0.009995,0.1,0.0,0.0
,,,,,,,0.2,-0.03998,0.2,-0.03998,0.2,0.0,0.0
,,,,,,,0.3,-0.08997,0.3,-0.09,0.3,6.104e-05,0.0
,,,,,,,0.4,-0.16,0.4001,-0.1599,0.4,0.0001221,0.0002441
,,,,,,,0.5,-0.25,0.5,-0.25,0.5,0.0,0.0
,,,,,,,0.6,-0.36,0.6,-0.36,0.6,0.0,0.0
,,,,,,,0.7,-0.4902,0.6997,-0.4902,0.7,0.0,0.0004883
,,,,,,,0.8,-0.64,0.8003,-0.6396,0.8,0.0004883,0.0004883
,,,,,,,0.9,-0.8105,0.8994,-0.81,0.9,0.0004883,0.0004883
,,,,,,,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0
,,,,,,,1.1,-1.211,1.1,-1.209,1.1,0.001953,0.0
,,,,,,,1.2,-1.439,1.199,-1.44,1.2,0.000977,0.000977
,,,,,,,1.3,-1.69,1.302,-1.689,1.3,0.000977,0.001953
,,,,,,,1.4,-1.96,1.397,-1.961,1.4,0.000977,0.00293
,,,,,,,1.5,-2.248,1.504,-2.25,1.5,0.001953,0.003906
,,,,,,,1.6,-2.562,1.597,-2.559,1.6,0.003906,0.00293
,,,,,,,1.7,-2.885,1.702,-2.89,1.7,0.00586,0.001953
,,,,,,,1.8,-3.246,1.802,-3.24,1.8,0.00586,0.001953
,,,,,,,1.9,-3.605,1.895,-3.611,1.9,0.00586,0.00586
,,,,,,,2.0,-4.0,2.01,-4.0,2.0,0.0,0.009766
,,,,,,,2.1,-4.414,2.088,-4.41,2.1,0.003906,0.01172
,,,,,,,2.2,-4.83,2.21,-4.836,2.2,0.007812,0.01172
,,,,,,,2.3,-5.305,2.293,-5.293,2.3,0.01172,0.007812
,,,,,,,2.4,-5.742,2.402,-5.76,2.4,0.01953,0.001953
,,,,,,,2.5,-6.266,2.51,-6.25,2.5,0.01563,0.009766
,,,,,,,2.6,-6.75,2.582,-6.758,2.6,0.007812,0.01758
,,,,,,,2.7,-7.285,2.729,-7.285,2.7,0.0,0.0293
,,,,,,,2.8,-7.855,2.77,-7.844,2.8,0.01172,0.03125
,,,,,,,2.9,-8.375,2.932,-8.414,2.9,0.03906,0.03125
,,,,,,,3.0,-9.05,2.988,-9.0,3.0,0.04688,0.01172
,,,,,,,3.1,-9.56,3.092,-9.61,3.1,0.04688,0.007812
,,,,,,,3.2,-10.28,3.242,-10.234,3.2,0.04688,0.04297
,,,,,,,3.3,-10.88,3.229,-10.9,3.3,0.01563,0.07227
,,,,,,,3.4,-11.53,3.494,-11.56,3.4,0.03125,0.09375
,,,,,,,3.5,-12.336,3.412,-12.25,3.5,0.08594,0.0879
,,,,,,,3.6,-12.836,3.66,-12.96,3.6,0.125,0.06055
,,,,,,,3.7,-13.836,3.709,-13.69,3.7,0.1484,0.009766
,,,,,,,3.8,-14.32,3.707,-14.445,3.8,0.125,0.09375
,,,,,,,3.9,-15.266,4.09,-15.21,3.9,0.0547,0.1895
,,,,,,,4.0,-16.06,3.764,-16.0,4.0,0.0625,0.2363
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,,
0.2,-0.0399,0.2001,-0.03998,0.2,9.155e-05,0.0001221,,,,,,,
0.4,-0.1598,0.4001,-0.1599,0.4,0.0001221,0.0002441,,,,,,,
0.6,-0.3599,0.6,-0.36,0.6,0.0002441,0.0,,,,,,,
0.8,-0.6396,0.8003,-0.6396,0.8,0.0,0.0004883,,,,,,,
1.0,-1.0,0.9995,-1.0,1.0,0.0,0.0004883,,,,,,,
1.2,-1.439,1.201,-1.44,1.2,0.000977,0.000977,,,,,,,
1.4,-1.962,1.399,-1.961,1.4,0.000977,0.000977,,,,,,,
1.6,-2.557,1.601,-2.559,1.6,0.001953,0.000977,,,,,,,
1.8,-3.242,1.801,-3.24,1.8,0.001953,0.000977,,,,,,,
2.0,-3.996,1.995,-4.0,2.0,0.003906,0.004883,,,,,,,
2.2,-4.836,2.213,-4.836,2.2,0.0,0.01367,,,,,,,
2.4,-5.773,2.379,-5.76,2.4,0.01172,0.02148,,,,,,,
2.6,-6.723,2.625,-6.758,2.6,0.03516,0.02539,,,,,,,
2.8,-7.91,2.795,-7.844,2.8,0.0664,0.00586,,,,,,,
3.0,-8.914,2.941,-9.0,3.0,0.08594,0.0586,,,,,,,
3.2,-10.27,3.396,-10.234,3.2,0.03906,0.1973,,,,,,,
3.4,-11.695,3.062,-11.56,3.4,0.1328,0.338,,,,,,,
3.6,-12.375,4.203,-12.96,3.6,0.586,0.6035,,,,,,,
3.8,-15.555,3.703,-14.445,3.8,1.109,0.09766,,,,,,,
4.0,-14.54,3.16,-16.0,4.0,1.461,0.84,,,,,,,
